spark_udaf_agg/103_CombinePerKeyTranslatorBatch.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_agg/104_CombinePerKeyTranslatorBatch.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_agg/105_CombinePerKeyTranslatorBatch.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_agg/106_CombinePerKeyTranslatorBatch.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
spark_udaf_agg/10_RelatedSoftwareAggregator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/121_Aggregators.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/122_Aggregators.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/12_MyAverageLong.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/13_MyAvgAgeUDAF.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/143_Aggregators.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/144_UdafSingle.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/14_EarliestLatestAggregator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/154_MyAverageList.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/157_UdfUtils.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/15_DatasetRowRuleWrapper.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/160_TypeSafeUserDefinedAggregationExample.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/165_RelatedPublicationAggregator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/173_RelatedDatasourceAggregator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/175_StatsAggregator.java | GOOD | LOC=0 | CONTROLFLOW=True | LANG=JAVA
spark_udaf_agg/186_VariantDatasetFacetTest.java | BAD | LOC=None | CONTROLFLOW=None | LANG=JAVA
